,match_nr,home/away,player_name,player_position,minutes_played,goals,assists,progressive_carries,progressive_passes,progressive_passing_distance,received_passes,attempted_shots,pass_completion,clearances,goal_creating_action,tackles,interceptions,blocks,errors,take_ons,ball_touches,won_aerials,own_goals,cards,game_won,game_result
0,1058,home,Marvin Cuni,FW,66,0,0,0,0,6,18,0,14,0,0,0,0,0,0,0,21,1,0,0,loss,1–3
1,1058,home,Gennaro Borrelli,FW,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,loss,1–3
2,1058,home,Giuseppe Caso,LW,66,0,0,2,5,83,18,1,13,0,0,1,0,0,0,3,21,0,0,0,loss,1–3
3,1058,home,Giorgi Kvernadze,LW,24,0,0,0,1,41,11,0,8,0,0,0,0,1,0,0,14,0,0,0,loss,1–3
4,1058,home,Jaime Báez,RW,74,0,0,2,4,120,21,2,16,0,1,0,0,3,0,0,30,1,0,0,loss,1–3
5,1058,home,Luigi Canotto,RW,16,0,0,0,0,9,3,0,2,0,0,0,0,0,0,1,4,0,0,0,loss,1–3
6,1058,home,Abdou Harroui,LM,85,1,0,3,2,92,34,0,35,0,0,3,0,1,0,0,52,0,0,0,loss,1–3
7,1058,home,Enzo Barrenechea,LM,5,0,0,0,1,22,12,0,12,0,0,0,0,0,0,0,12,0,0,0,loss,1–3
8,1058,home,Luca Mazzitelli,CM,74,0,0,1,5,152,51,0,44,3,0,0,0,2,0,1,61,0,0,1,loss,1–3
9,1058,home,Marco Brescianini,CM,16,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,6,0,0,0,loss,1–3
10,1058,home,Francesco Gelli,RM,90,0,0,1,4,175,48,0,50,0,1,0,0,2,0,0,61,0,0,1,loss,1–3
11,1058,home,Riccardo Marchizza,LB,90,0,0,0,0,145,16,0,25,2,0,1,0,3,0,0,38,0,0,0,loss,1–3
12,1058,home,Simone Romagnoli,CB,90,0,0,0,0,154,34,0,40,4,0,0,1,2,0,0,51,0,0,0,loss,1–3
13,1058,home,Ilario Monterisi,CB,90,0,0,0,3,781,80,0,85,5,0,0,0,2,0,0,104,1,0,0,loss,1–3
14,1058,home,Anthony Oyono,RB,90,0,0,2,5,220,33,0,36,5,0,1,1,3,0,0,56,1,0,1,loss,1–3
15,1058,home,Stefano Turati,GK,90,0,0,0,0,393,24,8,31,0,0,5,0,0,3,0,43,0,0,0,loss,1–3
16,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
17,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
18,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
19,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
20,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
21,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
22,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
23,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
24,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
25,1058,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–3
26,1058,away,Victor Osimhen,FW,80,2,0,0,0,0,13,5,4,0,0,1,0,0,0,0,16,2,0,0,win,1–3
27,1058,away,Giovanni Simeone,FW,10,0,0,2,2,25,5,2,3,0,0,0,0,0,0,0,6,1,0,0,win,1–3
28,1058,away,Giacomo Raspadori,LW,90,0,0,4,4,101,34,4,24,1,0,1,0,1,0,0,43,0,0,0,win,1–3
29,1058,away,Matteo Politano,RW,75,1,0,1,5,96,32,2,29,1,1,0,0,0,0,1,40,0,0,0,win,1–3
30,1058,away,Elif Elmas,RW,15,0,0,1,0,0,8,0,6,0,0,1,0,0,0,0,10,0,0,0,win,1–3
31,1058,away,Piotr Zieliński,LM,90,0,0,2,11,294,42,3,36,0,1,0,0,3,0,0,58,0,0,0,win,1–3
32,1058,away,Stanislav Lobotka,CM,89,0,0,2,5,303,54,2,59,0,0,0,1,0,0,0,67,0,0,1,win,1–3
33,1058,away,Leo Skiri Østigård,CM,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,win,1–3
34,1058,away,Jens Cajuste,RM,45,0,0,0,2,69,11,0,9,1,0,1,0,0,0,1,16,0,0,1,win,1–3
35,1058,away,Andre-Frank Zambo Anguissa,RM,45,0,0,3,6,182,36,0,38,0,0,1,0,0,0,1,45,0,0,0,win,1–3
36,1058,away,Mathías Olivera,LB,75,0,0,1,0,94,19,0,27,1,0,2,0,0,0,1,41,3,0,1,win,1–3
37,1058,away,Mário Rui,LB,15,0,0,0,0,7,9,0,9,0,0,1,0,1,0,0,15,0,0,0,win,1–3
38,1058,away,Juan Jesus,CB,90,0,0,0,1,315,46,0,55,2,0,0,1,0,0,0,67,2,0,0,win,1–3
39,1058,away,Amir Rrahmani,CB,90,0,0,0,5,466,58,0,70,3,1,2,0,1,0,0,82,1,0,0,win,1–3
40,1058,away,Giovanni Di Lorenzo,RB,90,0,2,5,5,306,46,1,47,0,2,1,0,0,0,1,58,0,0,0,win,1–3
41,1058,away,Alex Meret,GK,90,0,0,0,0,298,16,1,20,0,0,0,0,0,1,0,26,0,0,0,win,1–3
42,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
43,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
44,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
45,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
46,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
47,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
48,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
49,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
50,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
51,1058,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–3
52,1059,home,Francesco Caputo,FW,69,0,0,1,2,10,10,1,7,0,0,0,0,1,0,0,18,0,0,0,loss,0–1
53,1059,home,Roberto Piccoli,FW,21,0,0,0,1,15,4,0,2,0,0,0,0,0,0,0,7,1,0,0,loss,0–1
54,1059,home,Emmanuel Gyasi,LW,85,0,0,1,1,20,16,1,9,0,0,0,1,0,0,0,21,0,0,0,loss,0–1
55,1059,home,Emmanuel Ekong,LW,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,0,0,loss,0–1
56,1059,home,Matteo Cancellieri,RW,69,0,0,1,0,1,13,2,8,1,0,0,0,0,0,0,23,0,0,0,loss,0–1
57,1059,home,Steven Shpendi,RW,21,0,0,0,0,8,3,1,2,0,0,0,0,1,0,0,6,0,0,0,loss,0–1
58,1059,home,Tommaso Baldanzi,AM,90,0,0,3,2,73,21,2,15,0,0,1,0,1,0,1,27,0,0,0,loss,0–1
59,1059,home,Alberto Grassi,DM,85,0,0,0,2,161,15,0,14,2,0,2,2,0,0,0,35,2,0,1,loss,0–1
60,1059,home,Liam Henderson,DM,5,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5,0,0,0,loss,0–1
61,1059,home,Răzvan Marin,DM,90,0,0,1,3,136,22,3,21,1,0,1,0,1,0,0,44,0,0,0,loss,0–1
62,1059,home,Liberato Cacace,LB,78,0,0,0,2,305,33,0,37,1,0,0,2,1,0,2,72,1,0,1,loss,0–1
63,1059,home,Giuseppe Pezzella,LB,12,0,0,0,0,38,5,0,9,1,0,2,0,0,0,1,13,0,0,0,loss,0–1
64,1059,home,Sebastiano Luperto,CB,90,0,0,0,1,148,24,0,29,2,0,0,0,2,0,0,43,1,0,0,loss,0–1
65,1059,home,Ardian Ismajli,CB,90,0,0,0,1,176,17,0,32,3,0,0,0,2,0,0,51,5,0,0,loss,0–1
66,1059,home,Tyronne Ebuehi,RB,90,0,0,2,0,89,17,0,22,0,0,0,0,1,0,0,44,1,0,0,loss,0–1
67,1059,home,Elia Caprile,GK,90,0,0,0,0,542,20,4,24,2,0,3,0,0,1,0,44,0,0,0,loss,0–1
68,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
69,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
70,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
71,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
72,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
73,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
74,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
75,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
76,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
77,1059,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,0–1
78,1059,away,Michael Folorunsho,FW,68,0,0,1,2,44,19,0,9,0,0,0,0,2,0,0,24,3,0,0,win,0–1
79,1059,away,Riccardo Saponara,FW,22,0,0,3,0,4,8,1,7,0,0,0,0,1,0,1,12,0,0,0,win,0–1
80,1059,away,Jordi Mboula,AM,68,0,0,2,2,30,11,1,7,0,0,1,0,0,0,0,16,2,0,0,win,0–1
81,1059,away,Milan Đurić,AM,22,0,0,0,0,12,9,0,6,0,0,0,0,0,0,0,12,4,0,0,win,0–1
82,1059,away,Cyril Ngonge,AM,68,0,0,3,1,59,15,2,10,0,0,1,0,0,0,0,19,0,0,0,win,0–1
83,1059,away,Federico Bonazzoli,AM,22,1,0,1,1,15,11,2,9,0,0,0,0,0,0,0,15,0,0,0,win,0–1
84,1059,away,Ondrej Duda,CM,87,0,0,0,3,101,19,0,17,2,0,0,2,1,0,1,40,0,0,1,win,0–1
85,1059,away,Bruno Amione,CM,3,0,0,0,0,9,2,0,2,1,0,0,1,0,0,0,5,0,0,0,win,0–1
86,1059,away,Martin Hongla,CM,90,0,0,0,3,112,17,0,21,2,0,1,1,0,0,1,33,0,0,0,win,0–1
87,1059,away,Josh Doig,WB,87,0,0,4,0,176,20,2,23,1,0,0,0,2,0,0,42,0,0,0,win,0–1
88,1059,away,Juan David Cabal,WB,3,0,0,0,0,7,3,1,3,0,0,0,0,0,0,0,6,0,0,0,win,0–1
89,1059,away,Filippo Terracciano,WB,90,0,0,1,3,310,30,0,35,0,0,5,2,4,0,1,68,6,0,0,win,0–1
90,1059,away,Paweł Dawidowicz,CB,90,0,0,1,5,482,43,1,47,5,0,0,2,0,0,0,75,8,0,0,win,0–1
91,1059,away,Giangiacomo Magnani,CB,90,0,0,0,0,163,13,0,21,6,0,0,2,2,0,0,37,1,0,1,win,0–1
92,1059,away,Diego Coppola,CB,90,0,0,0,1,214,29,0,29,3,0,4,1,0,0,0,57,5,0,0,win,0–1
93,1059,away,Lorenzo Montipò,GK,90,0,0,0,0,731,18,4,26,1,0,4,0,0,0,0,45,0,0,0,win,0–1
94,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
95,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
96,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
97,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
98,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
99,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
100,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
101,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
102,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
103,1059,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,0–1
104,1060,home,Lautaro Martínez,FW,79,2,0,1,3,52,19,5,11,0,0,0,4,1,0,0,25,0,0,1,win,2–0
105,1060,home,Davide Frattesi,FW,11,0,0,0,0,17,3,0,3,0,0,0,0,1,0,0,6,1,0,0,win,2–0
106,1060,home,Marcus Thuram,FW,66,0,0,2,3,57,16,2,10,1,0,0,0,1,0,2,20,1,0,0,win,2–0
107,1060,home,Marko Arnautović,FW,24,0,1,2,1,21,10,1,9,0,1,0,0,0,0,1,14,0,0,0,win,2–0
108,1060,home,Henrikh Mkhitaryan,CM,90,0,0,3,6,117,50,2,49,2,1,0,1,0,0,1,64,0,0,0,win,2–0
109,1060,home,Hakan Çalhanoğlu,CM,90,0,0,1,3,351,37,3,46,0,0,2,1,1,0,0,59,1,0,0,win,2–0
110,1060,home,Nicolò Barella,CM,90,0,0,2,11,362,70,2,68,0,1,0,0,0,0,0,85,1,0,0,win,2–0
111,1060,home,Federico Dimarco,WB,66,0,0,2,5,220,40,5,40,1,0,3,1,0,0,1,54,0,0,0,win,2–0
112,1060,home,Carlos Augusto,WB,24,0,0,1,0,18,14,1,9,1,0,0,0,0,0,0,17,1,0,0,win,2–0
113,1060,home,Denzel Dumfries,WB,66,0,1,2,3,91,25,0,19,1,1,2,0,2,0,1,34,1,0,0,win,2–0
114,1060,home,Juan Cuadrado,WB,24,0,0,2,0,38,12,0,10,1,0,0,0,1,0,0,15,0,0,0,win,2–0
115,1060,home,Alessandro Bastoni,CB,90,0,0,3,4,367,54,0,62,0,0,5,0,1,0,0,73,0,0,0,win,2–0
116,1060,home,Stefan de Vrij,CB,90,0,0,0,2,182,24,1,29,4,0,0,2,2,0,0,40,3,0,0,win,2–0
117,1060,home,Matteo Darmian,CB,82,0,0,2,5,251,46,0,49,1,0,1,0,1,0,0,59,0,0,0,win,2–0
118,1060,home,Yann Aurel Bisseck,CB,8,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,3,0,0,0,win,2–0
119,1060,home,Yann Sommer,GK,90,0,0,0,0,566,19,2,32,2,0,2,0,0,0,0,36,0,0,0,win,2–0
120,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
121,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
122,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
123,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
124,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
125,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
126,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
127,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
128,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
129,1060,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,2–0
130,1060,away,Gianluca Caprari,FW,90,0,0,4,9,202,38,2,31,0,0,0,0,0,0,2,48,0,0,0,loss,2–0
131,1060,away,Mirko Marić,FW,59,0,0,0,1,8,20,2,12,0,0,0,0,0,0,0,22,2,0,0,loss,2–0
132,1060,away,Dany Mota,FW,31,0,0,1,1,2,6,1,3,0,0,0,0,0,0,0,6,0,0,0,loss,2–0
133,1060,away,Matteo Pessina,CM,90,0,0,4,8,257,60,0,60,3,0,1,1,2,0,0,74,1,0,0,loss,2–0
134,1060,away,Roberto Gagliardini,CM,69,0,0,2,2,163,44,1,41,3,0,3,2,0,0,0,61,1,0,0,loss,2–0
135,1060,away,Pepín,CM,21,0,0,0,1,67,8,0,10,1,0,0,0,1,0,0,15,0,0,0,loss,2–0
136,1060,away,Andrea Colpani,CM,59,0,0,3,3,115,30,1,23,1,0,0,0,0,0,1,31,0,0,0,loss,2–0
137,1060,away,Samuele Birindelli,CM,31,0,0,1,0,26,13,1,14,0,0,3,2,2,0,0,22,0,0,0,loss,2–0
138,1060,away,Giorgos Kyriakopoulos,WB,85,0,0,3,3,177,42,2,46,0,0,0,1,0,0,2,54,0,0,0,loss,2–0
139,1060,away,Valentin Carboni,WB,5,0,0,0,1,14,4,1,4,0,0,0,0,0,0,0,5,0,0,0,loss,2–0
140,1060,away,Patrick Ciurria,WB,90,0,0,0,5,180,43,1,37,1,0,0,1,0,0,0,54,0,0,0,loss,2–0
141,1060,away,Luca Caldirola,CB,90,0,0,1,3,377,58,0,65,0,0,0,2,1,0,0,72,0,0,1,loss,2–0
142,1060,away,Pablo Marí,CB,90,0,0,0,3,585,66,0,71,0,0,1,2,1,0,0,77,1,0,0,loss,2–0
143,1060,away,Danilo D'Ambrosio,CB,69,0,0,3,3,265,47,0,55,2,0,2,2,2,0,0,66,1,0,0,loss,2–0
144,1060,away,Pedro Pereira,CB,21,0,0,1,0,41,7,0,7,0,0,0,0,2,0,0,11,0,0,0,loss,2–0
145,1060,away,Michele Di Gregorio,GK,90,0,0,0,0,443,18,3,29,1,0,1,0,0,2,1,37,0,0,0,loss,2–0
146,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
147,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
148,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
149,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
150,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
151,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
152,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
153,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
154,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
155,1060,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,2–0
156,1061,home,Mateo Retegui,FW,90,0,0,1,0,18,14,1,12,0,0,0,0,0,0,1,23,2,0,1,loss,1–4
157,1061,home,Albert Guðmundsson,FW,90,0,0,1,7,193,34,1,25,0,0,1,1,0,0,4,51,0,0,0,loss,1–4
158,1061,home,Morten Thorsby,CM,90,0,0,0,1,65,20,1,12,1,0,1,1,5,0,0,34,2,0,0,loss,1–4
159,1061,home,Milan Badelj,CM,58,0,0,0,1,99,17,0,19,1,0,0,1,2,0,0,27,0,0,0,loss,1–4
160,1061,home,Filip Jagiełło,CM,32,0,0,0,1,4,12,0,11,0,0,0,1,1,0,0,16,0,0,0,loss,1–4
161,1061,home,Morten Frendrup,CM,90,0,1,0,3,69,13,0,17,0,1,2,2,2,0,1,38,1,0,0,loss,1–4
162,1061,home,Aarón Martín,WB,58,0,0,1,3,126,10,0,15,0,0,0,0,0,0,0,19,0,0,0,loss,1–4
163,1061,home,Caleb Ekuban,WB,32,0,0,0,1,27,5,0,3,0,0,1,0,0,0,2,7,1,0,0,loss,1–4
164,1061,home,Silvan Hefti,WB,58,0,0,0,0,54,12,0,10,0,0,0,0,0,0,0,24,1,0,0,loss,1–4
165,1061,home,Johan Vásquez,WB,32,0,0,1,1,86,8,0,9,1,0,1,0,2,0,0,16,0,0,0,loss,1–4
166,1061,home,Radu Drăgușin,CB,90,0,0,0,2,126,20,0,23,4,0,0,0,0,1,0,33,0,0,0,loss,1–4
167,1061,home,Mattia Bani,CB,90,0,0,1,2,291,35,0,34,3,0,0,1,2,0,0,54,2,0,1,loss,1–4
168,1061,home,Davide Biraschi,CB,90,1,0,0,5,308,21,1,31,5,1,3,2,0,0,1,48,1,0,0,loss,1–4
169,1061,home,Josep Martinez,GK,90,0,0,0,0,501,20,5,21,0,0,1,0,0,4,0,30,0,0,0,loss,1–4
170,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
171,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
172,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
173,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
174,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
175,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
176,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
177,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
178,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
179,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
180,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
181,1061,home,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loss,1–4
182,1061,away,M'Bala Nzola,FW,81,0,1,1,1,16,18,1,12,0,1,0,0,1,0,1,23,1,0,0,win,1–4
183,1061,away,Lucas Beltrán,FW,9,0,0,0,0,11,5,0,6,1,0,0,0,2,0,0,10,0,0,0,win,1–4
184,1061,away,Josip Brekalo,LW,90,0,0,2,4,118,42,1,38,0,0,0,0,0,0,2,51,0,0,0,win,1–4
185,1061,away,Nicolás González,RW,71,1,0,3,1,31,25,2,16,0,1,1,0,1,0,0,30,2,0,0,win,1–4
186,1061,away,Riccardo Sottil,LW,19,0,0,2,0,28,17,0,12,0,0,0,0,0,0,0,20,0,0,0,win,1–4
187,1061,away,Giacomo Bonaventura,AM,87,1,1,1,5,160,62,1,57,1,1,1,0,2,0,0,75,2,0,1,win,1–4
188,1061,away,Gino Infantino,AM,3,0,0,0,1,22,7,0,4,0,0,1,0,0,0,0,8,0,0,0,win,1–4
189,1061,away,Rolando Mandragora,DM,80,1,0,1,13,259,61,2,63,1,0,1,1,0,0,0,76,1,0,0,win,1–4
190,1061,away,Alfred Duncan,DM,10,0,0,1,0,96,10,0,12,0,0,0,0,0,0,0,14,0,0,0,win,1–4
191,1061,away,Arthur Melo,DM,90,0,0,0,6,296,66,0,68,1,1,4,1,2,0,1,85,0,0,0,win,1–4
192,1061,away,Cristiano Biraghi,LB,90,1,1,6,3,519,75,1,82,1,3,0,1,0,0,2,109,0,0,1,win,1–4
193,1061,away,Luca Ranieri,CB,90,0,0,0,2,593,59,0,61,3,0,0,3,0,0,0,79,0,0,0,win,1–4
194,1061,away,Nikola Milenković,CB,90,0,0,0,4,284,50,1,55,2,0,0,1,1,0,0,69,2,0,1,win,1–4
195,1061,away,Michael Kayode,RB,80,0,0,5,3,297,50,0,57,6,0,0,0,0,0,4,83,4,0,0,win,1–4
196,1061,away,Dodô,RB,10,0,0,1,1,44,9,0,8,0,0,0,0,0,0,0,10,0,0,0,win,1–4
197,1061,away,Pietro Terracciano,GK,90,0,0,0,0,722,37,2,48,0,0,1,0,0,1,0,52,0,0,0,win,1–4
198,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
199,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
200,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
201,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
202,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
203,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
204,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
205,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
206,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
207,1061,away,padding,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,1–4
208,1062,home,Andrea Pinamonti,FW,84,0,0,1,1,21,27,3,16,0,0,0,0,0,0,0,29,1,0,0,loss,0–2
209,1062,home,Samuele Mulattieri,FW,6,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,7,0,0,0,loss,0–2
210,1062,home,Armand Lauriente,LW,90,0,0,2,1,211,36,3,33,0,0,0,1,1,0,5,54,0,0,0,loss,0–2
211,1062,home,Grégoire Defrel,RW,76,0,0,0,3,62,17,0,15,2,0,0,0,0,0,0,21,1,0,0,loss,0–2
212,1062,home,Cristian Volpato,RW,14,0,0,1,2,41,13,0,12,0,0,1,0,0,0,1,15,0,0,0,loss,0–2
213,1062,home,Nedim Bajrami,AM,61,0,0,3,2,66,27,1,23,0,0,0,0,0,0,2,32,0,0,0,loss,0–2
214,1062,home,Kristian Thorstvedt,AM,29,0,0,1,1,103,13,0,12,0,0,0,1,0,0,1,15,2,0,0,loss,0–2
215,1062,home,Maxime Lopez,DM,90,0,0,2,7,428,77,0,78,0,0,1,2,1,0,0,94,0,0,0,loss,0–2
216,1062,home,Matheus Henrique,DM,90,0,0,1,3,399,49,1,48,3,0,2,0,1,0,2,61,0,0,0,loss,0–2
217,1062,home,Matías Viña,LB,45,0,0,2,3,141,37,0,32,3,0,1,0,1,0,0,49,1,0,0,loss,0–2
218,1062,home,Filippo Missori,LB,45,0,0,3,2,92,22,2,19,0,0,1,2,1,0,0,35,1,0,0,loss,0–2
219,1062,home,Mattia Viti,CB,76,0,0,0,1,126,19,0,30,4,0,0,1,3,0,0,38,0,0,0,loss,0–2
